gid,objectname,the_geom_text,geom_type,properties
32477,IN CS. MERPATI,"LINESTRING(117.475840109912 0.698008857140614,117.476780029895 0.698401261909611,117.477843578687 0.698382493401515,117.478050032276 0.698094709610698,117.477929461361 0.697808304094042)",road,305.315
24911,JL. RO BONTANG 03,"LINESTRING(117.48197716823 0.718173859015505,117.481580020289 0.717887391648432,117.480086245088 0.715284233935451)",road,386.8
24910,JL. RO BONTANG 04,"LINESTRING(117.487534720164 0.718032268194853,117.486882610611 0.717965206723208,117.486046876137 0.718025259499822,117.484200253256 0.718140360655,117.483149329665 0.718340536577048,117.48266729416 0.718369177674873,117.48197716823 0.718173859015505)",road,624.771
35268,IN MHR TULIP,"LINESTRING(117.467129086982 0.6405422128321,117.466828029359 0.641929405363684,117.466455711264 0.642651917030565)",road,247.007
36557,IN DISP. HYDROS 3 RL70,"LINESTRING(117.447750350665 0.717610538036213,117.448825028947 0.717555309930015,117.449044569669 0.71742225494704,117.449137708157 0.717235977970875,117.448906751721 0.714842989173499,117.448925434099 0.71425760801252,117.448857112084 0.713661151206864,117.448576142392 0.712219551023876,117.448479918469 0.711248147611468,117.448434097554 0.711032789307774,117.448255395983 0.71072578917272)",road,902.45
37158,IN DISP. IPD MERAK RL-30 BARAT,"LINESTRING(117.469906097923 0.69783687375402,117.469840756383 0.697033965865271)",road,89.079
18687,JL. KATARA,"LINESTRING(117.463950471408 0.648731171305069,117.4647955428 0.648264478144039,117.465018209569 0.647580573065558,117.465479447878 0.646912572756344,117.465558971724 0.646276381985664,117.466179257726 0.645481143522314,117.467578877421 0.645226667214042,117.469073925732 0.645338000598911,117.47021906912 0.645258476752576,117.471062021891 0.645226667214042,117.472223070047 0.644924476597969,117.473352308665 0.644638190751163,117.474099832821 0.644192857211687,117.474640594976 0.643938380903415,117.475022986293 0.643382570658278)",road,1507.391
31550,JL. RO MELATI 6400,"LINESTRING(117.444003767155 0.620401060124818,117.445003579025 0.621690441760916)",road,180.867
34388,JL. HIMALAYA0 09,"LINESTRING(117.437002601186 0.65772751452181,117.437620791768 0.660437370513484)",road,307.441
34986,JL. RO PANAMA 1,"LINESTRING(117.447212180165 0.694510811479288,117.446756897426 0.694347136856769)",road,53.813
25719,JL. RO DI PANJAITAN 01,"LINESTRING(117.460809951041 0.668027854971458,117.460781967503 0.667290955141592,117.460940516028 0.66608173687576)",road,216.41
11248,JL. RO MOH NATSIR 01,"LINESTRING(117.431586856618 0.59636540171354,117.431961390065 0.596822965696597,117.432087872701 0.597548957010968,117.431761519219 0.599220523626354,117.431331687804 0.601584596410972,117.431116772096 0.602372620672511,117.431171380264 0.602713118510374)",road,729.675
34389,JL. HIMALAYA 01,"LINESTRING(117.436611695829 0.656151394621249,117.436760814259 0.65689494404948,117.437002601186 0.65772751452181)",road,179.791
28708,JL. ALBATROS,"LINESTRING(117.461550166825 0.718037551436151,117.462327777223 0.717961843459898,117.462385534922 0.717953979354108)",road,93.448
8841,JL. RO SOEDIRMAN 01,"LINESTRING(117.453737103054 0.630415623323806,117.454075904468 0.631010523394558,117.454042357185 0.631274109191404,117.453888998176 0.631542487457285,117.453730846698 0.631930677449004,117.45362061991 0.632318867440724,117.453558317812 0.632683095087276,117.453548732874 0.633191096804835,117.453513393149 0.633834032273407)",road,398.731
17216,IN DISP. CADAS TENGAH 01,"LINESTRING(117.456482481091 0.708906217161832,117.456482481091 0.708906217161832)",road,0
37081,IN FRONT EX762,"LINESTRING(117.465292182825 0.705741810685873,117.465366874561 0.705819375180744,117.465623003792 0.705852571509795,117.465992879651 0.705704277222123,117.466022979762 0.705497338961693,117.465685747757 0.704905774271402)",road,183.55
3243,JL. RO KENARI 05,"LINESTRING(117.477672348903 0.705439323321324,117.478018869654 0.708337103102048)",road,322.734
26767,JL. RO HASSANUDIN 2500,"LINESTRING(117.457150585186 0.598385757948365,117.457220362947 0.59937769770398,117.457107198258 0.600188716422734)",road,200.516
34987,JL. RO PANAMA 2,"LINESTRING(117.446756897426 0.694347136856769,117.446392588446 0.694200453409556,117.44553455103 0.693535563304597,117.444854157631 0.692964605274525,117.444479375749 0.692638992924628,117.444048504264 0.692155661474252)",road,389.717
11252,JL. RO AHMAD DAHLAN 05,"LINESTRING(117.44314718163 0.604474055206843,117.44348636505 0.604481978544308,117.444026153861 0.604502612152627)",road,97.895
32476,IN CS. BANGAU,"LINESTRING(117.474912720073 0.698998251809101,117.474083620898 0.698989341829977,117.473345392913 0.699433529854934,117.473351649083 0.699840180863697)",road,232.997
35908,IN DISP. HYDROS 3 RL90 BARAT,"LINESTRING(117.44886706368 0.707897261837508,117.448679978969 0.709025336047981,117.448853309666 0.709946155376115,117.449037473532 0.711820293538083,117.449243303735 0.713055274754639,117.44967035155 0.715759914757816)",road,879.621
31554,JL. RO MELATI 5500,"LINESTRING(117.442073466337 0.615065069329288,117.441913632511 0.614505650939435,117.441630849589 0.613999510491472,117.441286592118 0.613606073382124,117.440890389069 0.613179820383108)",road,251.099
11612,JL. RO ELANG 4900,"LINESTRING(117.443522365874 0.608937164786074,117.442821671763 0.609198624858104,117.442496532521 0.609429368836055,117.441914428395 0.609938054423813,117.441410986989 0.610011472962252,117.441263665163 0.610120023950262)",road,290.215
28709,JL. ALBATROS 01,"LINESTRING(117.462385534922 0.717953979354108,117.463068661561 0.717769834083638,117.463313272658 0.71771906574279,117.463599421488 0.717663682098228,117.463719742072 0.717659160946059)",road,152.356
15513,IN WIGHTBRIDGE 01,"LINESTRING(117.441650995607 0.608997448390084,117.441644971931 0.608823717429291,117.441633690623 0.608707143910735,117.441250126143 0.608466476001459,117.441016979106 0.608308537685996)",road,113.764
32483,IN CS. MHR KOLIBRI,"LINESTRING(117.477467604662 0.709710551699755,117.477017336968 0.708853628870094,117.475983741967 0.708541503647093,117.47514427864 0.708663759636085)",road,321.723
32481,IN CS. CENDRAWASIH,"LINESTRING(117.470001208465 0.719606397143391,117.469949150748 0.719213661539602,117.47075220247 0.718792785034574,117.471087990148 0.719001751334092)",road,188.531
32696,JL. RO TOKYO 03,"LINESTRING(117.45254952075 0.709199063327353,117.452292449454 0.708948320746145)",road,39.844
35454,IN STP. TULIP,"LINESTRING(117.466556635964 0.643566176076629,117.466828029359 0.641929405363684,117.467129086982 0.6405422128321)",road,340.495
32697,JL. RO TOKYO 04,"LINESTRING(117.452292449454 0.708948320746145,117.451649278673 0.708195495721491,117.45011763407 0.705870653199936,117.450027238151 0.705727012371383,117.449903563123 0.705615704846377)",road,455.527
37165,IN FRONT EX1305,"LINESTRING(117.465097381945 0.706156675184575,117.464631949632 0.705942563586762,117.46403739889 0.705854481995298,117.463417492953 0.70572356872992)",road,194.358
32679,JL. MANILA 01,"LINESTRING(117.455209566884 0.708696234183098,117.455459114976 0.708140223523459,117.455445980865 0.70756670071706,117.454997980703 0.705840283604747)",road,328.202
26494,JL. ALBATROS 06,"LINESTRING(117.466265166097 0.721816584207399,117.466824840135 0.721109939876002)",road,99.932
37164,IN FRONT EX1151,"LINESTRING(117.468567731882 0.713830940373533,117.468718819347 0.714415388291123)",road,66.777
32482,IN CS. KOLIBRI COAL,"LINESTRING(117.473505697593 0.708435763544398,117.473701646074 0.707953070849632,117.474786409144 0.708101458250731,117.474909548103 0.708564917791261)",road,232.562
33712,JL. RO RAJAWALI 16500,"LINESTRING(117.476378240046 0.679279326796566,117.476256348547 0.679753366984355,117.476047921157 0.680523085691649)",road,142.361
36110,JL. MELBOURNE 07,"LINESTRING(117.465857717895 0.698705135842425,117.465746517695 0.699009909570956,117.46570018835 0.699248174770886,117.465714372141 0.699806337693076,117.465650593386 0.700476655549871)",road,198.945
33711,JL. RO RAJAWALI 16700,"LINESTRING(117.476047921157 0.680523085691649,117.475971893049 0.681059506232932,117.476014802175 0.68244002847155)",road,212.64
8720,JL. RO HOS COKRO AMINOTO 03,"LINESTRING(117.454267730654 0.653779903947992,117.454402908375 0.654333806023455,117.454538463102 0.654791529351226)",road,115.882
35741,JL. RO ROMA 10,"LINESTRING(117.456373390297 0.697977510995904,117.457017169937 0.697959927786216,117.457601296494 0.697933233162737)",road,136.773
36303,JL. ROMA 12,"LINESTRING(117.459045291058 0.698944938575499,117.460896470943 0.698585818210766,117.461014845872 0.698567717853657,117.461158508124 0.698520308915525,117.461649827839 0.698202120910068,117.461776167194 0.698094498496458,117.461846355724 0.697963479905975,117.461869941468 0.697853668954165,117.46185103496 0.697607858017524,117.461640740587 0.696866342080793,117.461505917717 0.69612924061698)",road,547.744
15520,IN WEIGHTBRIDGE 03,"LINESTRING(117.441018976116 0.608596083395866,117.441016979106 0.608308537685996)",road,31.796
26768,JL. RO HASSANUDIN 2700,"LINESTRING(117.457107198258 0.600188716422734,117.456532131789 0.601069253803132,117.456025368524 0.601638874133786)",road,201.076
