gid,objectname,the_geom_text,geom_type,properties
1694,DISP. WASTE DUMP 1,"POLYGON((117.451754024269 4.705234465227234,117.451563369331 4.706007461758967,117.450802050084 4.706168682305386,117.450353713809 4.706050821201386,117.449975570913 4.705551828513984,117.44963230815 4.704622655125645,117.44975683712 4.704004926558751,117.450218727308 4.703471475919516,117.450953848311 4.703380398981109,117.451565364897 4.703900838629144,117.451786551747 4.704304179356371,117.451754024269 4.705234465227234))",disposal,1
1257,DISP. WASTE DUMP 2,"POLYGON((117.449033441816 4.709114481028205,117.448824283933 4.708624888925648,117.448795536644 4.707910997923529,117.44898239402 4.707604360177653,117.449485471572 4.707542074385522,117.450018601156 4.707478744764611,117.450232901078 4.708112228944261,117.450232901078 4.708830911161159,117.449959801835 4.709281285350415,117.449399229706 4.709242955632181,117.449033441816 4.709114481028205))",disposal,1
938,FRONT EX0001,"POLYGON((117.454840003744 4.70685029537355,117.453737195144 4.707076469721739,117.452817952612 4.705966076404169,117.453955784774 4.705383451501864,117.454840003744 4.70685029537355))",front,1
106,FRONT EX0002,"POLYGON((117.454345790951 4.708499304115816,117.45432811965 4.707715837486081,117.454605253245 4.707419207982165,117.455128332504 4.707441002951293,117.454919100801 4.708565623358253,117.454345790951 4.708499304115816))",front,8933
422,FRONT EX0003,"POLYGON((117.456660919483 4.705160983134025,117.456798198656 4.705453254923171,117.457148039131 4.706976610915084,117.456067519184 4.707122746809657,117.455358981513 4.705457683283613,117.456660919483 4.705160983134025))",front,1
7723,IN DISP. WASTE DUMP 1,"LINESTRING(117.452151415361 4.708843594034512,117.452251832392 4.708301342068524,117.452065834387 4.707441548275085,117.45180252761 4.706866383579789,117.451197289673 4.706460128651223,117.451083617364 4.706300980250301,117.451010121868 4.706056628055666,117.451013819939 4.70577187657832,117.450658742932 4.705165532238779,117.45060500275 4.704798307660825,117.450596046053 4.704395256294777)",road,554
3834,IN DISP. WASTE DUMP 2,"LINESTRING(117.448776211408 4.705791723499261,117.449104961887 4.70643094289487,117.449566922223 4.708519482200503)",road,316
8016,IN FRONT EX0001,"LINESTRING(117.455642051934 4.708388741929307,117.455507029049 4.707568382660734,117.455309159003 4.707209450891057,117.455027027677 4.706822326337705,117.454604031742 4.706553757490253,117.454235751432 4.706382100585326,117.453711317376 4.70617937375005)",road,353
8111,IN FRONT EX0002,"LINESTRING(117.455642051934 4.708388741929307,117.455507029049 4.707568382660734,117.455309159003 4.707209450891057,117.455071490833 4.707218338170699,117.454823202937 4.707419207982165,117.454718587085 4.707741773525247,117.454648843184 4.708059980074503)",road,272
8180,IN FRONT EX0003,"LINESTRING(117.456779641094 4.706944973429224,117.456772343766 4.706597254469485,117.456674919836 4.706304982680338,117.456253510322 4.705953659653073)",road,133
198,JL. HAUL ROAD 5,"LINESTRING(117.448776211408 4.705791723499261,117.44880290408 4.705745652188283,117.449047072321 4.705537657019591,117.449277440069 4.70551901376453,117.449746672592 4.705453677590398)",road,119
195,JL. HAUL ROAD 4,"LINESTRING(117.449746672592 4.705453677590398,117.449669457114 4.704491453935009,117.449592241635 4.70357674749717,117.449584815558 4.702628917852979)",road,313
2310,JL. HAUL ROAD 1,"LINESTRING(117.456779641094 4.706944973429224,117.456114439081 4.707771887360933,117.455642051934 4.708388741929307)",road,203
2311,JL. HAUL ROAD 2,"LINESTRING(117.455642051934 4.708388741929307,117.455031203828 4.709150790061662,117.454129155047 4.710208195677097,117.453950055025 4.710312724445639,117.453779746558 4.710346786138922,117.453567516008 4.710286523143113,117.453264668539 4.710092477010724,117.452151415361 4.708843594034512)",road,554
215,JL. HAUL ROAD 3,"LINESTRING(117.452151415361 4.708843594034512,117.449912982854 4.705631867156211,117.449746672592 4.705453677590398)",road,460
