mobileid,reporttime,mobiletypeid,mobileactivityid,mobilestatusgroupid,mobilestatusid,pos_lon,pos_lat,pos_alt,pos_speed,pos_dir,pos_name,plm_payload,plm_speed,plm_inc,plm_status
DT3151,6/6/2025 21:00:02,2,5,1,PRD,117.47046,0.70624,-3.8,12.79176,13.81,JL. RO  BANGAU NEW 01,100,11.6,0,4
DT3151,6/6/2025 21:00:05,2,5,1,PRD,117.47047,0.70635,-3.6,14.1715,11.48,JL. RO  BANGAU NEW 01,100,13.8,0,4
DT3151,6/6/2025 21:00:08,2,5,1,PRD,117.4705,0.70647,-2.7,15.76422,8.84,JL. RO  BANGAU NEW 01,106,15.9,0,4
DT3151,6/6/2025 21:00:11,2,5,1,PRD,117.47051,0.70658,-2.3,14.87341,6.6,JL. RO  BANGAU NEW 01,106,17,0,4
DT3151,6/6/2025 21:00:14,2,5,1,PRD,117.47052,0.70669,-1.1,14.39374,7.11,JL. RO  BANGAU NEW 01,104,14.8,0,4
DT3151,6/6/2025 21:00:17,2,5,1,PRD,117.47054,0.7068,-0.5,15.5568,10.92,JL. RO  BANGAU NEW 01,104,14.6,0,4
DT3151,6/6/2025 21:00:20,2,5,1,PRD,117.47056,0.70693,-0.7,16.16981,10.98,JL. RO  BANGAU NEW 01,105,17,0,4
DT3151,6/6/2025 21:00:23,2,5,1,PRD,117.47059,0.70704,0.7,14.94379,22.41,JL. RO  BANGAU NEW 01,104,16.3,0,4
DT3151,6/6/2025 21:00:26,2,5,1,PRD,117.47063,0.70715,2.3,13.52145,21,JL. RO  BANGAU NEW 01,102,17,0,4
DT3151,6/6/2025 21:00:29,2,5,1,PRD,117.47067,0.70724,2.9,12.27135,21.25,JL. RO  BANGAU NEW 01,104,13.1,0,4
DT3151,6/6/2025 21:00:32,2,5,1,PRD,117.4707,0.70732,3.7,11.24534,21.81,JL. RO BEO 02,106,12.4,0,4
DT3151,6/6/2025 21:00:35,2,5,1,PRD,117.47073,0.7074,4.3,12.06578,20.98,JL. RO BEO 02,104,12.2,0,4
DT3151,6/6/2025 21:00:38,2,5,1,PRD,117.47076,0.70749,5,12.98993,21.74,JL. RO BEO 02,104,13.4,0,4
DT3151,6/6/2025 21:00:41,2,5,1,PRD,117.4708,0.70759,5.9,13.66035,23.26,JL. RO BEO 02,106,13.9,0,4
DT3151,6/6/2025 21:00:44,2,5,1,PRD,117.47084,0.70768,6.8,13.26032,22.53,JL. RO BEO 02,105,14.3,0,4
DT3151,6/6/2025 21:00:47,2,5,1,PRD,117.47087,0.70778,7.6,14.0789,20.91,JL. RO BEO 02,106,14.6,0,4
DT3151,6/6/2025 21:00:50,2,5,1,PRD,117.47091,0.70788,9.1,14.61228,20.06,JL. RO BEO 02,105,14.9,0,4
DT3151,6/6/2025 21:00:53,2,5,1,PRD,117.47094,0.70799,9.8,14.84934,19.08,JL. RO BEO 02,105,15.6,0,4
DT3151,6/6/2025 21:00:56,2,5,1,PRD,117.47098,0.7081,8.7,14.89749,21.98,JL. RO BEO 02,105,15.7,0,4
DT3151,6/6/2025 21:00:59,2,5,1,PRD,117.47102,0.70821,10.7,14.64747,22.03,JL. RO BEO 02,107,15.7,0,4
DT3151,6/6/2025 21:01:02,2,5,1,PRD,117.47106,0.70831,11.9,13.60109,24.31,JL. RO BEO 02,106,14.9,0,4
DT3151,6/6/2025 21:01:05,2,5,1,PRD,117.47111,0.7084,12.6,12.6399,28.57,JL. RO BEO 02,106,13.9,0,4
DT3151,6/6/2025 21:01:08,2,5,1,PRD,117.47116,0.70849,14,13.04364,31.81,JL. RO BEO 02,104,14.1,0,4
DT3151,6/6/2025 21:01:11,2,5,1,PRD,117.47121,0.70858,14.3,13.76962,32.84,JL. RO BEO 02,105,14.6,0,4
DT3151,6/6/2025 21:01:14,2,5,1,PRD,117.47127,0.70867,14.8,13.0603,26.4,JL. RO BEO 02,104,15.3,0,4
DT3151,6/6/2025 21:01:17,2,5,1,PRD,117.47131,0.70876,15.6,12.19912,18.43,JL. RO BEO 02,100,13.7,0,4
DT3151,6/6/2025 21:01:20,2,5,1,PRD,117.47135,0.70885,16.2,11.66575,21.97,JL. RO BEO 02,100,13.4,0,4
DT3151,6/6/2025 21:01:23,2,5,1,PRD,117.47139,0.70894,16.7,13.10475,29.92,JL. RO BEO O3,105,13.3,0,4
DT3151,6/6/2025 21:01:26,2,5,1,PRD,117.47145,0.70903,17,13.53812,32.93,JL. RO BEO O3,106,14.2,0,4
DT3151,6/6/2025 21:01:29,2,5,1,PRD,117.47151,0.70913,18.5,14.52338,33.43,JL. RO BEO O3,105,15.9,0,4
DT3151,6/6/2025 21:01:32,2,5,1,PRD,117.47156,0.70922,19.8,12.93437,29.7,JL. RO BEO O3,107,14.8,0,4
DT3151,6/6/2025 21:01:35,2,5,1,PRD,117.4716,0.70932,21.3,12.14542,22.3,JL. RO BEO O3,105,14.4,0,4
DT3151,6/6/2025 21:01:38,2,5,1,PRD,117.47164,0.7094,22.4,11.17867,22.85,JL. RO BEO O3,101,13.5,0,4
DT3151,6/6/2025 21:01:41,2,5,1,PRD,117.47168,0.70949,22.7,12.10282,29.32,JL. RO BEO O3,105,13.3,0,4
DT3151,6/6/2025 21:01:44,2,5,1,PRD,117.47173,0.70957,23.6,12.93437,28.86,JL. RO BEO O3,105,14.6,0,4
DT3151,6/6/2025 21:01:47,2,5,1,PRD,117.47178,0.70967,25.1,13.01956,25.12,JL. RO BEO O3,104,15.3,0,4
DT3151,6/6/2025 21:01:50,2,5,1,PRD,117.47182,0.70976,25.1,11.98244,26.53,JL. RO BEO O3,105,13.9,0,4
DT3151,6/6/2025 21:01:53,2,5,1,PRD,117.47187,0.70986,25.8,13.70295,26.27,JL. RO BEO O3,105,14.3,0,4
DT3151,6/6/2025 21:01:56,2,5,1,PRD,117.47192,0.70994,26.9,11.23053,31.37,JL. RO BEO O3,104,14.8,0,4
DT3151,6/6/2025 21:01:59,2,5,1,PRD,117.47196,0.71002,28.1,11.44721,30.25,JL. RO BEO O3,103,12.9,0,4
DT3151,6/6/2025 21:02:02,2,5,1,PRD,117.47201,0.7101,29.2,12.87881,30.41,JL. RO BEO O3,106,13.6,0,4
DT3151,6/6/2025 21:02:05,2,5,1,PRD,117.47206,0.71019,30.1,13.02326,25.99,JL. RO BEO 4,104,13.9,0,4
DT3151,6/6/2025 21:02:08,2,5,1,PRD,117.47211,0.71029,30.6,13.81777,26.8,JL. RO BEO 4,105,14.4,0,4
