mobileid,reporttime,mobiletypeid,mobileactivityid,mobilestatusgroupid,mobilestatusid,pos_lon,pos_lat,pos_alt,pos_speed,pos_dir,pos_name,plm_payload,plm_speed,plm_inc,plm_status
DT1009,3/1/2026 14:00:00,2,5,1,PRD,117.4555,4.70803,51.8,5.9,16.2,IN FRONT EX0002,81.6,7,1.1,4
DT1009,3/1/2026 14:00:03,2,5,1,PRD,117.45552,4.70807,52.6,5.6,16.5,IN FRONT EX0002,88.4,6,2.5,4
DT1009,3/1/2026 14:00:06,2,5,1,PRD,117.45553,4.70811,53.1,5.4,17.2,IN FRONT EX0002,87.2,6,2,4
DT1009,3/1/2026 14:00:09,2,5,1,PRD,117.45554,4.70814,53.5,4.3,11.1,IN FRONT EX0002,80.6,4,0.6,4
DT1009,3/1/2026 14:00:12,2,5,1,PRD,117.45554,4.70818,54.2,5.1,4.1,IN FRONT EX0002,85,4,-0.3,4
DT1009,3/1/2026 14:00:15,2,5,1,PRD,117.45554,4.70823,54.5,6.3,358.9,IN FRONT EX0002,80.1,5,-0.3,4
DT1009,3/1/2026 14:00:18,2,5,1,PRD,117.45553,4.70828,54.7,6.8,348.7,IN FRONT EX0002,89.1,6,-0.4,4
DT1009,3/1/2026 14:00:21,2,5,1,PRD,117.45552,4.70833,55,7.6,337.6,IN FRONT EX0002,89.7,7,-0.4,4
DT1009,3/1/2026 14:00:24,2,5,1,PRD,117.45549,4.70838,55.1,8.7,326.2,IN FRONT EX0002,93.2,9,-0.9,4
DT1009,3/1/2026 14:00:27,2,5,1,PRD,117.45545,4.70844,55.3,9.5,324.5,IN FRONT EX0002,93.2,8,-0.7,4
DT1009,3/1/2026 14:00:30,2,5,1,PRD,117.4554,4.70851,55.4,12.8,326.6,IN FRONT EX0002,92.8,10,-0.3,4
DT1009,3/1/2026 14:00:33,2,5,1,PRD,117.45534,4.7086,56,13.6,325.6,JL. HAUL ROAD 2,93.2,13,0.4,4
DT1009,3/1/2026 14:00:36,2,5,1,PRD,117.45528,4.70869,56.6,17,324.3,JL. HAUL ROAD 2,93.2,13,0.4,4
DT1009,3/1/2026 14:00:39,2,5,1,PRD,117.45519,4.70879,57.1,18.3,317.8,JL. HAUL ROAD 2,94.7,17,0.8,4
DT1009,3/1/2026 14:00:42,2,5,1,PRD,117.45505,4.70893,57,20.3,310.2,JL. HAUL ROAD 2,94.7,17,0.8,4
DT1009,3/1/2026 14:00:45,2,5,1,PRD,117.45498,4.70899,57.4,21,310.7,JL. HAUL ROAD 2,98.3,22,3.1,4
DT1009,3/1/2026 14:00:48,2,5,1,PRD,117.45485,4.70911,57.6,24.3,322.2,JL. HAUL ROAD 2,98.3,22,3.1,4
DT1009,3/1/2026 14:00:51,2,5,1,PRD,117.45474,4.70926,58.9,23.5,323.8,JL. HAUL ROAD 2,94.9,24,4.3,4
DT1009,3/1/2026 14:00:54,2,5,1,PRD,117.45463,4.7094,59.6,23,319.7,JL. HAUL ROAD 2,94.9,24,4.3,4
DT1009,3/1/2026 14:00:57,2,5,1,PRD,117.45453,4.70952,61.3,20,319.3,JL. HAUL ROAD 2,94.9,24,4.3,4
DT1009,3/1/2026 14:01:00,2,5,1,PRD,117.45444,4.70962,62.3,17.1,317.7,JL. HAUL ROAD 2,94.9,24,4.3,4
DT1009,3/1/2026 14:01:03,2,5,1,PRD,117.45436,4.70971,63,15,321.2,JL. HAUL ROAD 2,95.2,17,3.8,4
DT1009,3/1/2026 14:01:06,2,5,1,PRD,117.45429,4.7098,63.6,16.8,325,JL. HAUL ROAD 2,95.2,17,3.8,4
DT1009,3/1/2026 14:01:09,2,5,1,PRD,117.45422,4.70991,64.1,18.1,327,JL. HAUL ROAD 2,95.2,17,3.8,4
DT1009,3/1/2026 14:01:12,2,5,1,PRD,117.45414,4.71003,64.9,18.4,329.1,JL. HAUL ROAD 2,97.1,18,2.9,4
DT1009,3/1/2026 14:01:15,2,5,1,PRD,117.45406,4.71016,65,20.1,320.1,JL. HAUL ROAD 2,96,18,3.2,4
DT1009,3/1/2026 14:01:18,2,5,1,PRD,117.45395,4.71026,65.5,22.4,289.6,JL. HAUL ROAD 2,96.6,21,2.1,4
DT1009,3/1/2026 14:01:21,2,5,1,PRD,117.45378,4.71029,66.5,23,266.7,JL. HAUL ROAD 2,93.1,23,-3.1,4
DT1009,3/1/2026 14:01:24,2,5,1,PRD,117.45361,4.71025,66.8,24.5,252.1,JL. HAUL ROAD 2,87.5,24,-4.1,4
DT1009,3/1/2026 14:01:27,2,5,1,PRD,117.45344,4.71017,67.6,25.9,237,JL. HAUL ROAD 2,98.5,27,0.4,4
DT1009,3/1/2026 14:01:30,2,5,1,PRD,117.45328,4.71005,68,26.3,227.1,JL. HAUL ROAD 2,96.8,26,1.2,4
DT1009,3/1/2026 14:01:33,2,5,1,PRD,117.45314,4.70991,68.4,27.1,222.2,JL. HAUL ROAD 2,95.8,27,0.7,4
DT1009,3/1/2026 14:01:36,2,5,1,PRD,117.45302,4.70975,70.5,25.2,215.9,JL. HAUL ROAD 2,98.5,28,2.6,4
DT1009,3/1/2026 14:01:39,2,5,1,PRD,117.45291,4.7096,71.2,22.8,215.1,JL. HAUL ROAD 2,79.6,25,2.3,4
DT1009,3/1/2026 14:01:42,2,5,1,PRD,117.45281,4.70947,72.1,22.8,220.3,JL. HAUL ROAD 2,93.5,24,3.1,4
DT1009,3/1/2026 14:01:45,2,5,1,PRD,117.4527,4.70934,72.8,22.5,222.6,JL. HAUL ROAD 2,93.9,23,6,4
DT1009,3/1/2026 14:01:48,2,5,1,PRD,117.45258,4.70921,73.6,22.2,220.9,JL. HAUL ROAD 2,98.8,23,5.2,4
DT1009,3/1/2026 14:01:51,2,5,1,PRD,117.45248,4.70909,74.5,21.5,218.9,JL. HAUL ROAD 2,98.8,23,5.2,4
DT1009,3/1/2026 14:01:54,2,5,1,PRD,117.45238,4.70896,75.5,21.2,216.1,JL. HAUL ROAD 2,95.8,22,3.8,4
DT1009,3/1/2026 14:01:57,2,5,1,PRD,117.45229,4.70883,76.2,19.9,188.8,JL. HAUL ROAD 2,95.8,22,3.8,4
DT1009,3/1/2026 14:02:00,2,5,1,PRD,117.4523,4.70868,76.1,20.8,167,JL. HAUL ROAD 2,85,20,-1.3,4
DT1009,3/1/2026 14:02:03,2,5,1,PRD,117.45232,4.70852,75.3,22.5,180,IN DISP. WASTE DUMP 1,85,20,-1.3,4
DT1009,3/1/2026 14:02:06,2,5,1,PRD,117.4523,4.70832,74.1,29.3,191.8,IN DISP. WASTE DUMP 1,98.5,24,8.2,4
DT1009,3/1/2026 14:02:09,2,5,1,PRD,117.45225,4.7081,74,31.2,191.3,IN DISP. WASTE DUMP 1,98.5,24,8.2,4
DT1009,3/1/2026 14:02:12,2,5,1,PRD,117.45221,4.70786,73.9,30.9,184.3,IN DISP. WASTE DUMP 1,97.8,32,4.4,4
DT1009,3/1/2026 14:02:15,2,5,1,PRD,117.45219,4.70764,73.6,29.2,188.7,IN DISP. WASTE DUMP 1,97.8,32,4.4,4
DT1009,3/1/2026 14:02:18,2,5,1,PRD,117.45212,4.70743,74.6,28.1,206.9,IN DISP. WASTE DUMP 1,97.8,32,4.4,4
DT1009,3/1/2026 14:02:21,2,5,1,PRD,117.45201,4.70727,75.8,24.8,217.1,IN DISP. WASTE DUMP 1,102.2,28,9.8,4
DT1009,3/1/2026 14:02:24,2,5,1,PRD,117.45191,4.70712,76.9,23,212.5,IN DISP. WASTE DUMP 1,94.9,27,8.5,4
DT1009,3/1/2026 14:02:27,2,5,1,PRD,117.45182,4.70697,77.5,22.7,208.5,IN DISP. WASTE DUMP 1,96.9,23,4.7,4
DT1009,3/1/2026 14:02:30,2,5,1,PRD,117.45173,4.70681,77.9,24.8,215,IN DISP. WASTE DUMP 1,97.3,23,5.6,4
DT1009,3/1/2026 14:02:33,2,5,1,PRD,117.4516,4.70667,78.3,26,235.2,IN DISP. WASTE DUMP 1,98.8,25,6.8,4
DT1009,3/1/2026 14:02:36,2,5,1,PRD,117.45144,4.70657,80.4,20.8,248.7,IN DISP. WASTE DUMP 1,102,27,6.5,4
DT1009,3/1/2026 14:02:39,2,5,1,PRD,117.45132,4.70652,82.9,12.3,255,IN DISP. WASTE DUMP 1,96.4,23,7.3,4
DT1009,3/1/2026 14:02:42,2,5,1,PRD,117.45125,4.7065,84.4,6.8,249.1,IN DISP. WASTE DUMP 1,95.2,11,3.3,4
DT1009,3/1/2026 14:02:45,2,5,1,PRD,117.4512,4.70647,85,8,233.4,IN DISP. WASTE DUMP 1,79.7,7,-0.2,4
DT1009,3/1/2026 14:02:48,2,5,1,PRD,117.45116,4.70642,85.5,8.6,223,IN DISP. WASTE DUMP 1,88.9,8,-0.2,4
DT1009,3/1/2026 14:02:51,2,5,1,PRD,117.45112,4.70637,86.2,9.1,208.1,IN DISP. WASTE DUMP 1,94,9,2.3,4
DT1009,3/1/2026 14:02:54,2,5,1,PRD,117.4511,4.70629,86.8,9.8,189.1,IN DISP. WASTE DUMP 1,78.8,10,2,4
DT1009,3/1/2026 14:02:57,2,5,1,PRD,117.45109,4.70621,87.2,14.4,184.3,IN DISP. WASTE DUMP 1,93,10,-0.6,4
DT1009,3/1/2026 14:03:00,2,5,1,PRD,117.45108,4.70609,87.7,18,178.8,DISP. WASTE DUMP 1,93,10,-0.6,4
DT1009,3/1/2026 14:03:03,2,5,1,PRD,117.45108,4.70595,87.9,19.2,182.1,DISP. WASTE DUMP 1,94.6,18,-0.6,4
DT1009,3/1/2026 14:03:06,2,5,1,PRD,117.45107,4.70579,87.4,21,183.2,DISP. WASTE DUMP 1,95.3,20,1.1,4
DT1009,3/1/2026 14:03:09,2,5,1,PRD,117.45104,4.70564,87.9,17.7,205.6,DISP. WASTE DUMP 1,98.3,21,1.7,4
DT1009,3/1/2026 14:03:12,2,5,1,PRD,117.45098,4.70553,88.6,10.6,221.2,DISP. WASTE DUMP 1,98.3,21,1.7,4
DT1009,3/1/2026 14:03:15,2,5,1,PRD,117.45094,4.70548,90.2,6,225.4,DISP. WASTE DUMP 1,103.9,12,4.7,4
DT1009,3/1/2026 14:03:18,2,5,1,PRD,117.4509,4.70545,91,6,229.8,DISP. WASTE DUMP 1,103.9,12,4.7,4
DT1009,3/1/2026 14:03:21,2,5,1,PRD,117.45087,4.70541,91.7,6.7,223,DISP. WASTE DUMP 1,87.3,6,1.8,4
DT1009,3/1/2026 14:03:24,2,5,1,PRD,117.45084,4.70537,92.5,5.7,207.3,DISP. WASTE DUMP 1,87.3,6,1.8,4
DT1009,3/1/2026 14:03:27,2,5,1,PRD,117.45082,4.70533,92.7,5.6,198.7,DISP. WASTE DUMP 1,89.2,6,-0.8,4
DT1009,3/1/2026 14:03:30,2,5,1,PRD,117.45081,4.70528,92.9,6.8,191.4,DISP. WASTE DUMP 1,88.3,6,0.2,4
DT1009,3/1/2026 14:03:33,2,5,1,PRD,117.4508,4.70522,93.1,7.8,187.7,DISP. WASTE DUMP 1,86.6,7,3.3,4
DT1009,3/1/2026 14:03:36,2,5,1,PRD,117.45079,4.70515,92.9,10.4,190.2,DISP. WASTE DUMP 1,86.6,7,3.3,4
DT1009,3/1/2026 14:03:39,2,5,1,PRD,117.45078,4.70506,92.7,15.3,175.6,DISP. WASTE DUMP 1,93.6,10,2,4
DT1009,3/1/2026 14:03:42,2,5,1,PRD,117.45079,4.70494,91.8,17.9,177.2,DISP. WASTE DUMP 1,93.6,10,2,4
DT1009,3/1/2026 14:03:45,2,5,1,PRD,117.4508,4.7048,92,17.9,174.1,DISP. WASTE DUMP 1,96.3,18,5,4
DT1009,3/1/2026 14:03:48,2,5,1,PRD,117.45082,4.70468,92.1,17.4,170.7,DISP. WASTE DUMP 1,96.3,18,5,4
DT1009,3/1/2026 14:03:51,2,5,1,PRD,117.45083,4.70456,92.4,14.9,183.1,DISP. WASTE DUMP 1,96.3,18,5,4
DT1009,3/1/2026 14:03:54,2,5,1,PRD,117.45082,4.70445,92.1,13.9,188.3,DISP. WASTE DUMP 1,101.9,14,5,4
DT1009,3/1/2026 14:03:57,2,5,1,PRD,117.45079,4.70434,93.3,14.2,200.9,DISP. WASTE DUMP 1,101.9,14,5,4
DT1009,3/1/2026 14:04:00,2,5,1,PRD,117.4507,4.70428,94,11.7,275.7,DISP. WASTE DUMP 1,102.7,15,6.4,4
DT1009,3/1/2026 14:04:03,2,5,1,PRD,117.45064,4.70429,94.1,3.2,57.9,DISP. WASTE DUMP 1,101.3,10,10.9,4
DT1009,3/1/2026 14:04:06,2,6,1,PRD,117.45067,4.70429,93.9,6.7,65.1,DISP. WASTE DUMP 1,101.1,0,0.1,5
DT1009,3/1/2026 14:04:09,2,6,1,PRD,117.45074,4.70431,93.5,7.5,85.6,DISP. WASTE DUMP 1,103,6,0.4,4
DT1009,3/1/2026 14:04:12,2,6,1,PRD,117.45076,4.7043,93.5,6.1,110.7,DISP. WASTE DUMP 1,100.9,7,-1.8,4
DT1009,3/1/2026 14:04:15,2,6,1,PRD,117.45078,4.70428,93.4,1.1,140.3,DISP. WASTE DUMP 1,99.1,5,-4.9,4
DT1009,3/1/2026 14:04:18,2,6,1,PRD,117.45079,4.70428,93.1,0.2,0,DISP. WASTE DUMP 1,99.2,1,-0.3,4
DT1009,3/1/2026 14:04:21,2,6,1,PRD,117.45078,4.70428,93.1,0,0,DISP. WASTE DUMP 1,101.2,0,0.1,5
DT1009,3/1/2026 14:04:24,2,6,1,PRD,117.45078,4.70428,93.4,0.1,0,DISP. WASTE DUMP 1,101.7,0,-0.2,5
DT1009,3/1/2026 14:04:27,2,6,1,PRD,117.45078,4.70428,93.5,0.1,0,DISP. WASTE DUMP 1,103.7,0,-0.1,5
DT1009,3/1/2026 14:04:30,2,6,1,PRD,117.45078,4.70428,93.9,0.1,0,DISP. WASTE DUMP 1,97.9,0,-0.1,5
DT1009,3/1/2026 14:04:34,2,8,1,PRD,117.45077,4.70429,94.2,4.8,335.4,DISP. WASTE DUMP 1,56.1,0,-0.1,6
DT1009,3/1/2026 14:04:36,2,8,1,PRD,117.45076,4.70432,94.1,4.9,328.4,DISP. WASTE DUMP 1,7.4,3,-0.2,6
DT1009,3/1/2026 14:04:39,2,8,1,PRD,117.45074,4.70435,94.4,4.9,327.3,DISP. WASTE DUMP 1,2.5,5,-0.5,6
DT1009,3/1/2026 14:04:42,2,8,1,PRD,117.45072,4.70439,94.4,8,330.7,DISP. WASTE DUMP 1,2.6,5,-0.4,6
DT1009,3/1/2026 14:04:45,2,8,1,PRD,117.45069,4.70445,94.6,10.9,333.5,DISP. WASTE DUMP 1,2.4,8,0.4,6
DT1009,3/1/2026 14:04:48,2,8,1,PRD,117.45065,4.70455,94.4,14.9,346.4,DISP. WASTE DUMP 1,2.2,13,-0.3,6
DT1009,3/1/2026 14:04:51,2,8,1,PRD,117.45064,4.70466,93.4,15.1,1,DISP. WASTE DUMP 1,2.2,13,-0.3,6
DT1009,3/1/2026 14:04:54,2,8,1,PRD,117.45064,4.70477,92.7,14.7,7.2,DISP. WASTE DUMP 1,2.2,13,-0.3,6
DT1009,3/1/2026 14:04:57,2,8,1,PRD,117.45066,4.70488,92.6,16.6,12.8,DISP. WASTE DUMP 1,2.2,13,-0.3,6
DT1009,3/1/2026 14:05:01,2,1,1,PRD,117.4507,4.70506,92.8,19.7,13.9,DISP. WASTE DUMP 1,4.7,17,-1.3,2
DT1009,3/1/2026 14:05:03,2,1,1,PRD,117.45073,4.70515,92.3,17.8,13.3,DISP. WASTE DUMP 1,4.7,17,-1.3,2
DT1009,3/1/2026 14:05:06,2,1,1,PRD,117.45076,4.70529,91.8,17.8,13.4,DISP. WASTE DUMP 1,3,19,-3.1,2
DT1009,3/1/2026 14:05:09,2,1,1,PRD,117.4508,4.70543,90.3,20.8,20.5,DISP. WASTE DUMP 1,3,19,-3.1,2
DT1009,3/1/2026 14:05:12,2,1,1,PRD,117.45088,4.70559,87.9,25.3,33.2,DISP. WASTE DUMP 1,4.3,22,1.3,2
DT1009,3/1/2026 14:05:15,2,1,1,PRD,117.45095,4.70576,87.5,23.3,0.8,DISP. WASTE DUMP 1,4.3,22,1.3,2
DT1009,3/1/2026 14:05:18,2,1,1,PRD,117.45095,4.70594,87.5,25.2,1.8,DISP. WASTE DUMP 1,6.1,23,-5.5,2
DT1009,3/1/2026 14:05:21,2,1,1,PRD,117.45096,4.70613,86.5,28,13.7,DISP. WASTE DUMP 1,3.5,25,-2,2
DT1009,3/1/2026 14:05:24,2,1,1,PRD,117.45102,4.70634,86.9,28.6,22.2,IN DISP. WASTE DUMP 1,6,28,3.3,2
DT1009,3/1/2026 14:05:27,2,1,1,PRD,117.45112,4.70651,85.9,25.7,46.6,IN DISP. WASTE DUMP 1,5.9,26,4.3,2
DT1009,3/1/2026 14:05:30,2,1,1,PRD,117.45128,4.7066,84.3,24,69.9,IN DISP. WASTE DUMP 1,8.1,23,7.1,2
DT1009,3/1/2026 14:05:33,2,1,1,PRD,117.45145,4.70668,81.7,26.4,50.9,IN DISP. WASTE DUMP 1,9.4,23,3,2
DT1009,3/1/2026 14:05:36,2,1,1,PRD,117.45159,4.70682,80.7,28.6,35.4,IN DISP. WASTE DUMP 1,5.1,26,-4.7,2
DT1009,3/1/2026 14:05:39,2,1,1,PRD,117.45172,4.70702,80.4,35.2,38.7,IN DISP. WASTE DUMP 1,4.9,30,-4.8,2
DT1009,3/1/2026 14:05:42,2,1,1,PRD,117.45189,4.70721,79.2,30,36.9,IN DISP. WASTE DUMP 1,5.2,34,4.4,2
DT1009,3/1/2026 14:05:45,2,1,1,PRD,117.45202,4.7074,78,28.9,19.5,IN DISP. WASTE DUMP 1,6,30,1.2,2
