mobileid,reporttime,mobiletypeid,mobileactivityid,mobilestatusid,pos_lon,pos_lat,pos_alt,pos_speed,pos_dir,plm_payload,plm_inc,plm_status,is_reversed,vessel_angle,plm_state,reporttime_display
DT3151,2025-06-07 05:00:02,2,5,PRD,117.47046,0.70624,-3.8,12.79176,13.81,100.0,0.0,4,0,0,plm on,6/6/2025 21:00:02
DT3151,2025-06-07 05:00:05,2,5,PRD,117.47047,0.70635,-3.6,14.1715,11.48,100.0,0.0,4,0,0,plm on,6/6/2025 21:00:05
DT3151,2025-06-07 05:00:08,2,5,PRD,117.4705,0.70647,-2.7,15.76422,8.84,106.0,0.0,4,0,0,plm on,6/6/2025 21:00:08
DT3151,2025-06-07 05:00:11,2,5,PRD,117.47051,0.70658,-2.3,14.87341,6.6,106.0,0.0,4,0,0,plm on,6/6/2025 21:00:11
DT3151,2025-06-07 05:00:14,2,5,PRD,117.47052,0.70669,-1.1,14.39374,7.11,104.0,0.0,4,0,0,plm on,6/6/2025 21:00:14
DT3151,2025-06-07 05:00:17,2,5,PRD,117.47054,0.7068,-0.5,15.5568,10.92,104.0,0.0,4,0,0,plm on,6/6/2025 21:00:17
DT3151,2025-06-07 05:00:20,2,5,PRD,117.47056,0.70693,-0.7,16.16981,10.98,105.0,0.0,4,0,0,plm on,6/6/2025 21:00:20
DT3151,2025-06-07 05:00:23,2,5,PRD,117.47059,0.70704,0.7,14.94379,22.41,104.0,0.0,4,0,0,plm on,6/6/2025 21:00:23
DT3151,2025-06-07 05:00:26,2,5,PRD,117.47063,0.70715,2.3,13.52145,21.0,102.0,0.0,4,0,0,plm on,6/6/2025 21:00:26
DT3151,2025-06-07 05:00:29,2,5,PRD,117.47067,0.70724,2.9,12.27135,21.25,104.0,0.0,4,0,0,plm on,6/6/2025 21:00:29
DT3151,2025-06-07 05:00:32,2,5,PRD,117.4707,0.70732,3.7,11.24534,21.81,106.0,0.0,4,0,0,plm on,6/6/2025 21:00:32
DT3151,2025-06-07 05:00:35,2,5,PRD,117.47073,0.7074,4.3,12.06578,20.98,104.0,0.0,4,0,0,plm on,6/6/2025 21:00:35
DT3151,2025-06-07 05:00:38,2,5,PRD,117.47076,0.70749,5.0,12.98993,21.74,104.0,0.0,4,0,0,plm on,6/6/2025 21:00:38
DT3151,2025-06-07 05:00:41,2,5,PRD,117.4708,0.70759,5.9,13.66035,23.26,106.0,0.0,4,0,0,plm on,6/6/2025 21:00:41
DT3151,2025-06-07 05:00:44,2,5,PRD,117.47084,0.70768,6.8,13.26032,22.53,105.0,0.0,4,0,0,plm on,6/6/2025 21:00:44
DT3151,2025-06-07 05:00:47,2,5,PRD,117.47087,0.70778,7.6,14.0789,20.91,106.0,0.0,4,0,0,plm on,6/6/2025 21:00:47
DT3151,2025-06-07 05:00:50,2,5,PRD,117.47091,0.70788,9.1,14.61228,20.06,105.0,0.0,4,0,0,plm on,6/6/2025 21:00:50
DT3151,2025-06-07 05:00:53,2,5,PRD,117.47094,0.70799,9.8,14.84934,19.08,105.0,0.0,4,0,0,plm on,6/6/2025 21:00:53
DT3151,2025-06-07 05:00:56,2,5,PRD,117.47098,0.7081,8.7,14.89749,21.98,105.0,0.0,4,0,0,plm on,6/6/2025 21:00:56
DT3151,2025-06-07 05:00:59,2,5,PRD,117.47102,0.70821,10.7,14.64747,22.03,107.0,0.0,4,0,0,plm on,6/6/2025 21:00:59
DT3151,2025-06-07 05:01:02,2,5,PRD,117.47106,0.70831,11.9,13.60109,24.31,106.0,0.0,4,0,0,plm on,6/6/2025 21:01:02
DT3151,2025-06-07 05:01:05,2,5,PRD,117.47111,0.7084,12.6,12.6399,28.57,106.0,0.0,4,0,0,plm on,6/6/2025 21:01:05
DT3151,2025-06-07 05:01:08,2,5,PRD,117.47116,0.70849,14.0,13.04364,31.81,104.0,0.0,4,0,0,plm on,6/6/2025 21:01:08
DT3151,2025-06-07 05:01:11,2,5,PRD,117.47121,0.70858,14.3,13.76962,32.84,105.0,0.0,4,0,0,plm on,6/6/2025 21:01:11
DT3151,2025-06-07 05:01:14,2,5,PRD,117.47127,0.70867,14.8,13.0603,26.4,104.0,0.0,4,0,0,plm on,6/6/2025 21:01:14
DT3151,2025-06-07 05:01:17,2,5,PRD,117.47131,0.70876,15.6,12.19912,18.43,100.0,0.0,4,0,0,plm on,6/6/2025 21:01:17
DT3151,2025-06-07 05:01:20,2,5,PRD,117.47135,0.70885,16.2,11.66575,21.97,100.0,0.0,4,0,0,plm on,6/6/2025 21:01:20
DT3151,2025-06-07 05:01:23,2,5,PRD,117.47139,0.70894,16.7,13.10475,29.92,105.0,0.0,4,0,0,plm on,6/6/2025 21:01:23
DT3151,2025-06-07 05:01:26,2,5,PRD,117.47145,0.70903,17.0,13.53812,32.93,106.0,0.0,4,0,0,plm on,6/6/2025 21:01:26
