mobileid,reporttime,mobiletypeid,mobileactivityid,mobilestatusid,pos_lon,pos_lat,pos_alt,pos_speed,pos_dir,plm_payload,plm_inc,plm_status,is_reversed,vessel_angle,plm_state,reporttime_display
DT1001,2026-03-01 22:00:01,2,4,PRD,117.45372,4.70626,28.0,0.0,41.1,81.0,0.0,3,0,0,plm on,3/1/2026 14:00:01
DT1001,2026-03-01 22:00:04,2,4,PRD,117.45372,4.70626,28.1,0.0,41.1,80.4,0.0,3,0,0,plm on,3/1/2026 14:00:04
DT1001,2026-03-01 22:00:07,2,4,PRD,117.45372,4.70626,28.0,0.1,41.1,80.1,0.0,3,0,0,plm on,3/1/2026 14:00:07
DT1001,2026-03-01 22:00:10,2,4,PRD,117.45372,4.70627,27.8,0.0,41.1,79.8,0.0,3,0,0,plm on,3/1/2026 14:00:10
DT1001,2026-03-01 22:00:13,2,4,PRD,117.45372,4.70627,27.6,0.1,41.1,79.6,-0.1,3,0,0,plm on,3/1/2026 14:00:13
DT1001,2026-03-01 22:00:16,2,4,PRD,117.45372,4.70627,27.4,0.0,41.1,79.5,-0.1,3,0,0,plm on,3/1/2026 14:00:16
DT1001,2026-03-01 22:00:19,2,4,PRD,117.45372,4.70627,27.0,0.1,41.1,79.4,-0.1,3,0,0,plm on,3/1/2026 14:00:19
DT1001,2026-03-01 22:00:22,2,4,PRD,117.45372,4.70627,26.8,0.1,41.1,79.4,-0.1,3,0,0,plm on,3/1/2026 14:00:22
DT1001,2026-03-01 22:00:25,2,4,PRD,117.45372,4.70627,26.8,0.1,41.1,88.8,-0.3,3,0,0,plm on,3/1/2026 14:00:25
DT1001,2026-03-01 22:00:28,2,4,PRD,117.45373,4.70628,26.8,2.7,41.1,88.8,-0.3,3,0,0,plm on,3/1/2026 14:00:28
DT1001,2026-03-01 22:00:31,2,4,PRD,117.45375,4.70629,26.8,4.1,56.7,102.4,2.5,3,0,0,plm on,3/1/2026 14:00:31
DT1001,2026-03-01 22:00:34,2,4,PRD,117.45379,4.70631,27.3,9.0,59.5,98.3,3.2,3,0,0,plm on,3/1/2026 14:00:34
DT1001,2026-03-01 22:00:37,2,4,PRD,117.45386,4.70635,27.7,10.9,66.6,97.0,3.7,3,0,0,plm on,3/1/2026 14:00:37
DT1001,2026-03-01 22:00:40,2,4,PRD,117.45393,4.7064,27.5,12.3,52.3,97.0,3.7,3,0,0,plm on,3/1/2026 14:00:40
DT1001,2026-03-01 22:00:43,2,5,PRD,117.45404,4.70648,27.3,14.0,48.4,89.4,4.5,3,0,0,plm on,3/1/2026 14:00:43
DT1001,2026-03-01 22:00:46,2,5,PRD,117.45409,4.70653,27.3,15.0,52.8,89.4,4.5,3,0,0,plm on,3/1/2026 14:00:46
DT1001,2026-03-01 22:00:49,2,5,PRD,117.4542,4.70659,28.1,17.1,68.5,98.1,3.7,3,0,0,plm on,3/1/2026 14:00:49
DT1001,2026-03-01 22:00:52,2,5,PRD,117.45434,4.70662,28.1,18.5,77.0,98.1,3.7,3,0,0,plm on,3/1/2026 14:00:52
DT1001,2026-03-01 22:00:55,2,5,PRD,117.45449,4.70666,28.4,21.4,76.9,99.0,3.0,3,0,0,plm on,3/1/2026 14:00:55
DT1001,2026-03-01 22:00:58,2,5,PRD,117.45463,4.70672,27.9,19.7,54.8,99.0,3.0,3,0,0,plm on,3/1/2026 14:00:58
DT1001,2026-03-01 22:01:01,2,5,PRD,117.45474,4.70681,26.9,19.3,48.3,97.8,0.4,3,0,0,plm on,3/1/2026 14:01:01
DT1001,2026-03-01 22:01:04,2,5,PRD,117.45484,4.7069,26.8,14.3,45.4,97.8,0.4,3,0,0,plm off,3/1/2026 14:01:04
DT1001,2026-03-01 22:01:07,2,5,PRD,117.4549,4.70696,27.4,7.5,51.2,99.3,-1.9,3,0,0,plm off,3/1/2026 14:01:07
DT1001,2026-03-01 22:01:10,2,5,PRD,117.45494,4.70699,27.9,2.4,51.2,99.3,-1.9,3,0,0,plm off,3/1/2026 14:01:10
DT1001,2026-03-01 22:01:13,2,5,PRD,117.45494,4.70699,28.1,0.0,51.2,99.3,-1.9,3,0,0,plm off,3/1/2026 14:01:13
DT1001,2026-03-01 22:01:16,2,5,PRD,117.45494,4.70699,28.2,0.0,51.2,99.3,-1.9,3,0,0,plm off,3/1/2026 14:01:16
DT1001,2026-03-01 22:01:19,2,5,PRD,117.45494,4.70699,28.8,1.7,54.3,102.3,3.6,5,0,0,plm on,3/1/2026 14:01:19
DT1001,2026-03-01 22:01:22,2,5,PRD,117.45497,4.70701,28.8,5.7,53.2,99.7,5.2,4,0,0,plm on,3/1/2026 14:01:22
DT1001,2026-03-01 22:01:25,2,5,PRD,117.45502,4.70705,28.4,11.3,54.8,99.7,5.2,4,0,0,plm off,3/1/2026 14:01:25
DT1001,2026-03-01 22:01:28,2,5,PRD,117.4551,4.70711,28.5,12.4,54.3,98.8,4.3,4,0,0,plm on,3/1/2026 14:01:28
DT1001,2026-03-01 22:01:31,2,5,PRD,117.45516,4.70717,28.8,10.7,45.3,98.8,4.3,4,0,0,plm on,3/1/2026 14:01:31
DT1001,2026-03-01 22:01:34,2,5,PRD,117.45521,4.70723,29.1,10.6,36.2,98.9,3.8,4,0,0,plm on,3/1/2026 14:01:34
DT1001,2026-03-01 22:01:37,2,5,PRD,117.45525,4.7073,30.5,9.3,25.6,98.9,3.8,4,0,0,plm on,3/1/2026 14:01:37
DT1001,2026-03-01 22:01:40,2,5,PRD,117.45527,4.70735,32.0,7.1,22.1,94.8,6.4,4,0,0,plm on,3/1/2026 14:01:40
DT1001,2026-03-01 22:01:43,2,5,PRD,117.45529,4.7074,32.1,5.9,16.3,94.8,6.4,4,0,0,plm on,3/1/2026 14:01:43
DT1001,2026-03-01 22:01:46,2,5,PRD,117.45531,4.70744,32.4,6.4,20.4,98.9,8.0,4,0,0,plm on,3/1/2026 14:01:46
DT1001,2026-03-01 22:01:49,2,5,PRD,117.45532,4.70749,33.5,7.0,20.3,98.9,8.0,4,0,0,plm on,3/1/2026 14:01:49
DT1001,2026-03-01 22:01:52,2,5,PRD,117.45534,4.70754,34.5,7.5,19.5,97.7,8.7,4,0,0,plm on,3/1/2026 14:01:52
DT1001,2026-03-01 22:01:55,2,5,PRD,117.45536,4.7076,35.3,7.7,16.4,97.4,8.4,4,0,0,plm on,3/1/2026 14:01:55
DT1001,2026-03-01 22:01:58,2,5,PRD,117.45537,4.70766,36.4,8.5,15.1,97.4,8.4,4,0,0,plm on,3/1/2026 14:01:58
DT1001,2026-03-01 22:02:01,2,5,PRD,117.45539,4.70771,37.4,6.1,14.8,99.2,8.9,4,0,0,plm on,3/1/2026 14:02:01
DT1001,2026-03-01 22:02:04,2,5,PRD,117.4554,4.70774,37.8,2.1,16.9,97.1,6.8,4,0,0,plm on,3/1/2026 14:02:04
DT1001,2026-03-01 22:02:07,2,5,PRD,117.4554,4.70775,38.2,2.3,14.6,99.4,6.1,4,0,0,plm on,3/1/2026 14:02:07
DT1001,2026-03-01 22:02:10,2,5,PRD,117.45541,4.70778,38.7,6.0,15.2,98.2,8.6,4,0,0,plm on,3/1/2026 14:02:10
DT1001,2026-03-01 22:02:13,2,5,PRD,117.45543,4.70784,39.6,8.9,18.8,98.5,10.0,4,0,0,plm on,3/1/2026 14:02:13
DT1001,2026-03-01 22:02:16,2,5,PRD,117.45545,4.7079,40.5,7.0,17.5,98.1,9.5,4,0,0,plm on,3/1/2026 14:02:16
DT1001,2026-03-01 22:02:19,2,5,PRD,117.45546,4.70794,41.4,5.7,16.0,97.8,8.1,4,0,0,plm on,3/1/2026 14:02:19
DT1001,2026-03-01 22:02:22,2,5,PRD,117.45547,4.70799,42.9,6.6,14.8,97.7,8.0,4,0,0,plm on,3/1/2026 14:02:22
DT1001,2026-03-01 22:02:25,2,5,PRD,117.45549,4.70804,44.1,8.1,14.0,95.3,11.2,4,0,0,plm on,3/1/2026 14:02:25
DT1001,2026-03-01 22:02:28,2,5,PRD,117.4555,4.7081,45.4,8.3,13.3,96.2,10.0,4,0,0,plm on,3/1/2026 14:02:28
DT1001,2026-03-01 22:02:31,2,5,PRD,117.45551,4.70817,46.7,8.3,12.0,96.7,10.3,4,0,0,plm on,3/1/2026 14:02:31
DT1001,2026-03-01 22:02:34,2,5,PRD,117.45552,4.70823,47.7,9.0,7.4,96.7,10.3,4,0,0,plm on,3/1/2026 14:02:34
DT1001,2026-03-01 22:02:37,2,5,PRD,117.45553,4.7083,48.4,9.3,358.1,97.5,9.4,4,0,0,plm on,3/1/2026 14:02:37
DT1001,2026-03-01 22:02:40,2,5,PRD,117.45551,4.70836,49.1,9.6,347.8,97.5,9.4,4,0,0,plm on,3/1/2026 14:02:40
